Date,restingHeartRate,totalSteps,total_intensity_minutes,sleepTimeSeconds,awakeSleepSeconds
2024-01-07,72.8,87776.0,180.0,28780.0,364.0
2024-01-14,71.0,75466.0,192.0,28920.0,420.0
2024-01-21,68.42857142857143,54818.0,128.0,28097.14285714286,471.42857142857144
2024-01-28,73.14285714285714,78134.0,222.0,30364.85714285714,540.0
2024-02-04,74.14285714285714,101984.0,84.0,29794.285714285714,814.2857142857143
2024-02-11,71.14285714285714,66470.0,164.0,31960.285714285714,2280.0
2024-02-18,75.14285714285714,62206.0,282.0,27082.0,1645.7142857142858
2024-02-25,76.25,151808.0,634.0,30360.0,322.5
2024-03-03,76.57142857142857,115724.0,642.0,28825.714285714286,651.4285714285714
2024-03-10,71.85714285714286,108820.0,114.0,30022.714285714286,977.1428571428571
2024-03-17,70.42857142857143,140092.0,350.0,31662.428571428572,942.8571428571429
2024-03-24,73.14285714285714,91488.0,208.0,28945.714285714286,1294.2857142857142
2024-03-31,75.28571428571429,73772.0,40.0,27843.0,617.1428571428571
2024-04-07,74.28571428571429,112910.0,372.0,29340.0,942.8571428571429
2024-04-14,73.0,42136.0,0.0,30908.571428571428,1851.4285714285713
2024-04-21,73.71428571428571,56888.0,288.0,30514.285714285714,1517.142857142857
2024-04-28,72.85714285714286,126510.0,584.0,29031.428571428572,1337.142857142857
2024-05-05,71.0,108628.0,446.0,28965.0,997.5
2024-05-12,70.57142857142857,54172.0,0.0,28285.714285714286,968.5714285714286
2024-05-19,71.14285714285714,87268.0,0.0,27951.428571428572,197.14285714285714
2024-05-26,74.0,111842.0,1120.0,26262.85714285714,685.7142857142857
2024-06-02,73.57142857142857,134202.0,568.0,29742.714285714286,900.0
2024-06-09,70.85714285714286,54534.0,78.0,28294.285714285714,780.0
2024-06-16,71.85714285714286,82230.0,268.0,28731.428571428572,462.85714285714283
2024-06-23,75.28571428571429,116480.0,0.0,28397.14285714286,360.0
2024-06-30,72.57142857142857,63928.0,470.0,29005.714285714286,471.42857142857144
2024-07-07,72.42857142857143,82320.0,526.0,28838.428571428572,411.42857142857144
2024-07-14,72.625,119752.0,444.0,28080.0,322.5
2024-07-21,72.0,53322.0,194.0,26871.428571428572,471.42857142857144
2024-07-28,74.85714285714286,62484.0,236.0,27384.14285714286,780.0
2024-08-04,74.14285714285714,102758.0,564.0,26318.85714285714,437.14285714285717
2024-08-11,71.57142857142857,74886.0,176.0,27651.428571428572,480.0
2024-08-18,72.0,51644.0,84.0,27765.714285714286,625.7142857142857
2024-08-25,72.0,40496.0,0.0,28002.85714285714,771.4285714285714
2024-09-01,72.0,33976.0,0.0,30343.0,437.14285714285717
2024-09-08,72.0,44708.0,0.0,29417.14285714286,1140.0
2024-09-15,76.42857142857143,73348.0,0.0,27977.14285714286,831.4285714285714
2024-09-22,70.57142857142857,81228.0,174.0,29082.85714285714,788.5714285714286
2024-09-29,71.28571428571429,94646.0,454.0,29782.571428571428,1431.4285714285713
2024-10-06,72.0,112600.0,530.0,29655.0,960.0
2024-10-13,70.71428571428571,97354.0,306.0,28632.0,180.0
2024-10-20,67.71428571428571,75904.0,206.0,28671.428571428572,677.1428571428571
2024-10-27,68.28571428571429,64046.0,78.0,29428.14285714286,762.8571428571429
2024-11-03,71.42857142857143,118056.0,480.0,30762.571428571428,1028.5714285714287
2024-11-10,72.0,38018.0,0.0,27505.714285714286,865.7142857142857
2024-11-17,72.0,60826.0,164.0,28888.14285714286,1062.857142857143
2024-11-24,72.0,55780.0,0.0,30396.428571428572,574.2857142857143
2024-12-01,72.0,82498.0,8.0,30790.571428571428,668.5714285714286
2024-12-08,74.71428571428571,69270.0,264.0,29944.428571428572,1080.0
2024-12-15,74.0,42980.0,46.0,30543.714285714286,685.7142857142857
2024-12-22,74.14285714285714,43758.0,0.0,29125.285714285714,677.1428571428571
2024-12-29,74.85714285714286,53618.0,60.0,29908.571428571428,214.28571428571428
2025-01-05,72.25,98530.0,446.0,30575.25,495.0
2025-01-12,71.125,47164.0,142.0,27253.875,487.5
2025-01-19,72.85714285714286,56704.0,302.0,28602.285714285714,857.1428571428571
2025-01-26,76.0,46626.0,106.0,29110.428571428572,445.7142857142857
2025-02-02,73.85714285714286,75104.0,330.0,30710.85714285714,968.5714285714286
2025-02-09,72.0,85962.0,300.0,28551.428571428572,522.8571428571429
2025-02-16,72.0,33072.0,0.0,32595.85714285714,548.5714285714286
2025-02-23,72.0,40532.0,0.0,30737.14285714286,1088.5714285714287
2025-03-02,72.46153846153847,56338.0,80.0,29931.384615384617,738.4615384615385
2025-03-09,73.0,60708.0,128.0,29708.571428571428,1345.7142857142858
2025-03-16,72.85714285714286,101588.0,0.0,32134.285714285714,1157.142857142857
2025-03-23,71.85714285714286,48256.0,414.0,29837.14285714286,1037.142857142857
2025-03-30,73.14285714285714,62204.0,0.0,29022.85714285714,865.7142857142857
2025-04-06,73.0,33894.0,0.0,30831.428571428572,565.7142857142857
2025-04-13,72.57142857142857,48692.0,60.0,31088.571428571428,1277.142857142857
2025-04-20,73.42857142857143,59702.0,90.0,30934.285714285714,1594.2857142857142
2025-04-27,75.42857142857143,39322.0,0.0,31275.714285714286,1097.142857142857
2025-05-04,74.14285714285714,31000.0,0.0,31860.0,1645.7142857142858
2025-05-11,73.42857142857143,61626.0,0.0,30624.714285714286,805.7142857142857
2025-05-18,74.0,47578.0,0.0,28431.428571428572,908.5714285714286
2025-05-25,70.71428571428571,74042.0,0.0,30668.571428571428,977.1428571428571
2025-06-01,71.42857142857143,39676.0,0.0,31371.428571428572,1071.4285714285713
2025-06-08,71.42857142857143,70324.0,154.0,28819.285714285714,1208.5714285714287
2025-06-15,72.71428571428571,43912.0,0.0,29631.428571428572,188.57142857142858
2025-06-22,73.57142857142857,118506.0,1094.0,27908.571428571428,865.7142857142857
2025-06-29,75.57142857142857,54062.0,0.0,29477.14285714286,522.8571428571429
2025-07-06,73.0,71550.0,0.0,31311.428571428572,325.7142857142857
2025-07-13,70.71428571428571,48546.0,338.0,30570.14285714286,325.7142857142857
2025-07-20,71.57142857142857,46458.0,0.0,28868.571428571428,1165.7142857142858
2025-07-27,73.14285714285714,50256.0,402.0,29974.285714285714,745.7142857142857
2025-08-03,74.0,39124.0,0.0,30630.714285714286,994.2857142857143
2025-08-10,72.8,66.0,0.0,28428.0,840.0
